Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000200	0.268648	0.251495	0.884810	0.916667	
0.000200	0.250682	0.246387	0.893671	0.912879	
0.000200	0.249073	0.248654	0.893671	0.912879	
0.000200	0.259106	0.247478	0.900000	0.910985	
0.000200	0.260643	0.245250	0.892405	0.910985	
0.000200	0.274811	0.250404	0.894937	0.912879	
0.000200	0.257460	0.244030	0.889873	0.916667	
0.000200	0.256184	0.246537	0.898734	0.912879	
0.000200	0.254079	0.245179	0.900000	0.916667	
0.000200	0.256949	0.245770	0.905063	0.914773	
0.000200	0.261123	0.248238	0.889873	0.910985	
0.000200	0.262559	0.251347	0.897468	0.905303	
0.000200	0.261227	0.253501	0.883544	0.907197	
0.000200	0.257591	0.259797	0.893671	0.905303	
0.000200	0.247320	0.245951	0.889873	0.907197	
0.000200	0.263117	0.250153	0.902532	0.909091	
0.000200	0.278456	0.249634	0.892405	0.910985	
0.000200	0.264911	0.250460	0.897468	0.907197	
0.000200	0.249643	0.247085	0.902532	0.910985	
0.000200	0.276552	0.246903	0.884810	0.912879	
0.000200	0.249195	0.245823	0.900000	0.905303	
0.000200	0.256469	0.244466	0.889873	0.910985	
0.000200	0.254229	0.250880	0.884810	0.910985	
0.000200	0.261557	0.243110	0.887342	0.912879	
0.000200	0.251790	0.245829	0.902532	0.910985	
0.000200	0.260682	0.244333	0.900000	0.909091	
0.000200	0.237691	0.248524	0.907595	0.903409	
0.000200	0.259288	0.246430	0.901266	0.912879	
0.000200	0.255362	0.248512	0.896203	0.914773	
0.000200	0.254434	0.245184	0.901266	0.910985	
0.000200	0.260852	0.243026	0.901266	0.912879	
0.000200	0.252024	0.247888	0.901266	0.907197	
0.000200	0.248823	0.247810	0.896203	0.907197	
0.000200	0.245304	0.242753	0.900000	0.912879	
0.000200	0.271672	0.247974	0.900000	0.909091	
0.000200	0.241386	0.248116	0.911392	0.912879	
0.000200	0.254538	0.250015	0.901266	0.910985	
0.000200	0.261584	0.248051	0.900000	0.909091	
0.000200	0.269607	0.241737	0.898734	0.916667	
0.000200	0.256930	0.249299	0.898734	0.912879	
0.000200	0.253202	0.250150	0.903797	0.907197	
0.000200	0.230744	0.243922	0.912658	0.910985	
0.000200	0.247970	0.248070	0.898734	0.912879	
0.000200	0.251239	0.245759	0.915190	0.907197	
0.000200	0.243059	0.257951	0.908861	0.905303	
0.000200	0.246506	0.246041	0.902532	0.907197	
0.000200	0.238248	0.246167	0.905063	0.909091	
0.000200	0.263791	0.246760	0.893671	0.910985	
0.000200	0.249732	0.246025	0.906329	0.907197	
0.000200	0.262978	0.245009	0.897468	0.914773	
0.000200	0.234345	0.253113	0.913924	0.916667	
0.000200	0.235947	0.247438	0.900000	0.909091	
0.000200	0.222584	0.248921	0.920253	0.910985	
0.000200	0.234697	0.246214	0.905063	0.909091	
0.000200	0.255383	0.239970	0.898734	0.910985	
0.000200	0.236624	0.247911	0.916456	0.916667	
0.000200	0.252497	0.241619	0.886076	0.910985	
0.000200	0.252400	0.248288	0.907595	0.910985	
0.000200	0.248196	0.247476	0.900000	0.907197	
0.000200	0.248791	0.249745	0.908861	0.916667	
0.000200	0.251834	0.254438	0.889873	0.912879	
0.000200	0.244020	0.250409	0.902532	0.909091	
0.000200	0.242333	0.245820	0.915190	0.909091	
0.000200	0.231324	0.247848	0.906329	0.910985	
0.000200	0.244907	0.248342	0.897468	0.907197	
0.000200	0.256416	0.251425	0.897468	0.914773	
0.000200	0.234785	0.247295	0.908861	0.905303	
0.000200	0.240306	0.243735	0.913924	0.914773	
0.000200	0.228347	0.247136	0.910127	0.907197	
0.000200	0.239595	0.252358	0.908861	0.909091	
0.000200	0.236621	0.243087	0.897468	0.914773	
0.000200	0.262853	0.253377	0.892405	0.910985	
0.000200	0.237796	0.250968	0.913924	0.912879	
0.000200	0.233043	0.250187	0.898734	0.914773	
0.000200	0.229117	0.253121	0.893671	0.916667	
0.000200	0.250724	0.252462	0.897468	0.912879	
0.000200	0.223516	0.247037	0.918987	0.907197	
0.000200	0.252741	0.247779	0.892405	0.909091	
0.000200	0.230254	0.255496	0.906329	0.910985	
0.000200	0.233915	0.242262	0.897468	0.910985	
0.000200	0.253754	0.242491	0.902532	0.907197	
0.000200	0.236152	0.244523	0.906329	0.909091	
0.000200	0.224297	0.243147	0.910127	0.909091	
0.000200	0.229599	0.245729	0.897468	0.912879	
0.000200	0.239827	0.242347	0.905063	0.907197	
0.000200	0.233469	0.247397	0.917722	0.907197	
0.000200	0.221884	0.245313	0.917722	0.914773	
0.000200	0.232208	0.253921	0.912658	0.907197	
0.000200	0.238098	0.245727	0.902532	0.909091	
0.000200	0.252667	0.251261	0.902532	0.903409	
0.000200	0.234604	0.253784	0.903797	0.903409	
0.000200	0.248297	0.246316	0.894937	0.905303	
0.000200	0.231414	0.250188	0.903797	0.916667	
0.000200	0.235528	0.249648	0.893671	0.909091	
Best acc: 0.9205
