Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.001000	219181.705158	132684.013974	131212.953125	122102.687500	
0.001180	62104.386915	18718.035537	29142.396484	17566.496094	
0.001360	15811.463579	10212.883956	9821.888672	10226.578125	
0.001540	6676.920245	5850.514188	5016.734375	5853.991211	
0.001720	4002.967218	3595.507531	3332.422852	3625.685059	
0.001900	2850.734887	3365.321102	2582.364746	3086.464355	
0.002080	2246.416509	2243.148402	1921.240479	2215.993652	
0.002260	1868.172574	1824.698883	1601.677979	1767.886475	
0.002440	1612.108030	1641.755290	1557.216553	1562.080811	
0.002620	1414.930163	1517.895188	1351.200684	1483.477295	
0.002800	1287.538269	1204.317360	1164.009888	1129.662964	
0.002980	1184.046015	1122.626367	1210.108398	1031.799683	
0.003160	1095.364689	1145.414034	989.587769	1082.331909	
0.003340	973.781301	957.257770	798.927856	856.048706	
0.003520	890.068564	868.662187	788.074463	779.912292	
0.003700	828.528447	867.135553	675.293823	768.871704	
0.003880	783.073672	1181.948496	796.215210	1031.809570	
0.004060	797.353786	1040.886740	771.731567	964.301636	
0.004240	756.412555	1098.063523	627.219238	975.407837	
0.004420	727.717441	948.623357	600.451660	780.423340	
0.004600	743.082890	843.108709	687.726074	741.468933	
0.004780	733.540115	807.343340	792.332764	733.425964	
0.004960	718.339063	785.960363	829.243164	680.489380	
0.005140	713.458303	776.539138	646.198608	670.909424	
0.005320	705.939856	739.624641	618.573425	684.350281	
0.005500	695.965908	867.901195	563.214844	843.898682	
0.005680	695.402098	771.810013	772.181641	673.957520	
0.005860	730.783323	803.326322	668.513855	731.157593	
0.006040	683.906783	849.280214	702.034424	763.498230	
0.006220	687.623842	765.507608	734.081665	707.983643	
0.006400	689.688835	773.209232	804.339233	712.628906	
0.006580	702.967262	782.419424	612.080688	709.183838	
0.006760	691.820591	754.378891	549.825562	657.044128	
0.006940	674.341638	764.563074	969.720520	685.252441	
0.007120	691.047922	755.542737	783.075684	666.091980	
0.007300	682.065223	763.354106	762.550659	740.508972	
0.007480	676.998190	747.070908	548.724731	693.186218	
0.007660	672.931850	747.864197	620.690430	704.369019	
0.007840	667.611549	748.626611	583.148865	701.729858	
0.008020	655.171943	719.622522	548.457764	684.597534	
0.008200	652.388216	745.340474	781.427612	661.599976	
0.008380	692.462005	733.345666	535.906433	619.425659	
0.008560	662.803109	803.008662	625.947815	669.509583	
0.008740	658.248388	757.849157	696.009644	770.445801	
0.008920	663.652994	748.051959	800.655151	655.324646	
0.009100	660.060469	835.229324	659.261292	757.170044	
0.009280	664.612028	717.451423	573.641968	641.998901	
0.009460	644.623855	733.459364	597.638184	651.727417	
0.009640	657.790186	707.204084	638.784668	656.990234	
0.009820	647.108920	739.087365	526.810608	654.284119	
0.010000	639.187327	770.025188	625.803406	684.609375	
0.009820	632.674949	771.689872	539.459595	760.424561	
0.009640	623.321396	712.904502	584.814941	674.035522	
0.009460	625.628605	750.207457	553.368286	680.608521	
0.009280	619.260906	756.264932	666.887756	668.490723	
0.009100	629.527447	701.436700	516.358582	595.018555	
0.008920	614.302909	702.690656	596.476379	679.435547	
0.008740	613.491616	782.241674	730.603455	748.470642	
0.008560	625.481785	716.368261	1117.267822	681.254150	
0.008380	615.310107	702.795465	581.401978	616.184387	
0.008200	610.827751	693.322002	553.592407	686.508789	
0.008020	611.491987	737.217200	599.911499	722.497070	
0.007840	622.137851	721.762316	668.636475	652.185059	
0.007660	638.782920	697.220347	561.587769	658.608521	
0.007480	613.902470	716.331300	557.350403	680.866516	
0.007300	600.902394	687.036212	628.997070	591.672607	
0.007120	598.356810	729.566133	530.857178	693.865906	
0.006940	590.471381	714.031230	508.347870	679.373291	
0.006760	587.662408	699.478441	488.123901	726.632446	
0.006580	584.766568	733.668851	758.802124	686.690308	
0.006400	613.852999	725.263814	588.180420	655.325562	
0.006220	594.161789	736.131213	618.667847	695.648865	
0.006040	603.844794	719.815457	450.404907	627.781250	
0.005860	590.572079	708.086277	693.086243	680.252197	
0.005680	597.832331	728.889933	573.270691	708.218933	
0.005500	582.948886	780.035969	583.106384	709.982117	
0.005320	582.403066	695.200752	469.625031	605.131958	
0.005140	573.065979	709.912176	562.984009	622.635620	
0.004960	573.002828	728.926167	914.367859	670.188354	
0.004780	640.753281	696.303855	446.984009	626.401672	
0.004600	596.001661	709.525927	658.624512	648.779968	
0.004420	610.429205	699.240973	568.867981	631.125488	
0.004240	585.750745	722.241960	562.622498	710.738953	
0.004060	576.032379	720.025750	548.395142	697.441895	
