Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000200	0.454343	0.355903	0.766304	0.861789	
0.000200	0.419788	0.357421	0.777174	0.861789	
0.000200	0.448033	0.358174	0.763587	0.849593	
0.000200	0.464402	0.342061	0.766304	0.861789	
0.000200	0.444993	0.343188	0.769022	0.869919	
0.000200	0.398198	0.328946	0.801630	0.857724	
0.000200	0.429412	0.342919	0.809783	0.845528	
0.000200	0.447527	0.338072	0.769022	0.861789	
0.000200	0.432557	0.343178	0.788043	0.865854	
0.000200	0.414539	0.329891	0.809783	0.853659	
0.000200	0.427390	0.380050	0.790761	0.849593	
0.000200	0.417089	0.349986	0.798913	0.861789	
0.000200	0.413599	0.339766	0.798913	0.861789	
0.000200	0.477631	0.331724	0.782609	0.857724	
0.000200	0.488270	0.336292	0.777174	0.853659	
0.000200	0.446976	0.336991	0.785326	0.853659	
0.000200	0.398390	0.352619	0.809783	0.861789	
0.000200	0.416712	0.341765	0.823370	0.873984	
0.000200	0.446757	0.345893	0.774457	0.865854	
0.000200	0.369913	0.343695	0.845109	0.841463	
0.000200	0.431243	0.340876	0.779891	0.857724	
0.000200	0.457199	0.341574	0.752717	0.849593	
0.000200	0.427290	0.355966	0.796196	0.849593	
0.000200	0.409292	0.367124	0.823370	0.857724	
0.000200	0.419566	0.357919	0.796196	0.861789	
0.000200	0.458984	0.363678	0.779891	0.853659	
0.000200	0.375857	0.396977	0.836957	0.825203	
0.000200	0.418314	0.353015	0.807065	0.857724	
0.000200	0.453720	0.355526	0.815217	0.849593	
0.000200	0.448646	0.359039	0.779891	0.861789	
0.000200	0.428063	0.343873	0.801630	0.861789	
0.000200	0.445136	0.344058	0.801630	0.865854	
0.000200	0.456768	0.328142	0.777174	0.853659	
0.000200	0.373122	0.332654	0.828804	0.849593	
0.000200	0.494653	0.338041	0.771739	0.853659	
0.000200	0.466022	0.331401	0.774457	0.861789	
0.000200	0.413256	0.327908	0.807065	0.853659	
0.000200	0.440931	0.354768	0.790761	0.861789	
0.000200	0.420682	0.333337	0.804348	0.849593	
0.000200	0.420327	0.339107	0.807065	0.845528	
0.000200	0.467020	0.351876	0.755435	0.853659	
0.000200	0.392497	0.325658	0.815217	0.865854	
0.000200	0.458767	0.369427	0.763587	0.861789	
0.000200	0.387890	0.345413	0.807065	0.857724	
0.000200	0.472143	0.364586	0.760870	0.849593	
0.000200	0.426599	0.367459	0.790761	0.845528	
0.000200	0.435692	0.345278	0.760870	0.861789	
0.000200	0.387417	0.332008	0.823370	0.857724	
0.000200	0.400169	0.334965	0.804348	0.841463	
0.000200	0.418738	0.323798	0.793478	0.857724	
0.000200	0.408001	0.367103	0.796196	0.845528	
0.000200	0.422791	0.349760	0.793478	0.853659	
0.000200	0.418308	0.333201	0.796196	0.861789	
0.000200	0.447327	0.326840	0.779891	0.857724	
0.000200	0.397753	0.363503	0.815217	0.845528	
0.000200	0.386230	0.342890	0.809783	0.857724	
