Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000200	0.431713	0.275159	0.814013	0.895038	
0.000200	0.413384	0.267734	0.821656	0.906489	
0.000200	0.400888	0.269714	0.819108	0.904580	
0.000200	0.454570	0.263701	0.797452	0.904580	
0.000200	0.389010	0.304663	0.821656	0.885496	
0.000200	0.444898	0.275400	0.796178	0.900763	
0.000200	0.392740	0.285255	0.821656	0.898855	
0.000200	0.391149	0.269930	0.825478	0.904580	
0.000200	0.379956	0.276387	0.829299	0.893130	
0.000200	0.386830	0.272796	0.834395	0.900763	
0.000200	0.424390	0.260547	0.819108	0.904580	
0.000200	0.428473	0.280692	0.808917	0.893130	
0.000200	0.421932	0.267094	0.802548	0.900763	
0.000200	0.388990	0.267897	0.821656	0.895038	
0.000200	0.423608	0.276714	0.798726	0.902672	
0.000200	0.380804	0.272815	0.840764	0.896947	
0.000200	0.409417	0.270605	0.814013	0.898855	
0.000200	0.393096	0.274826	0.831847	0.893130	
0.000200	0.391058	0.278563	0.824204	0.896947	
0.000200	0.408628	0.270713	0.817834	0.898855	
0.000200	0.407699	0.262169	0.816561	0.902672	
0.000200	0.416682	0.268189	0.820382	0.910305	
0.000200	0.412373	0.292344	0.816561	0.883588	
0.000200	0.446063	0.277838	0.791083	0.893130	
0.000200	0.413291	0.274320	0.808917	0.900763	
0.000200	0.400312	0.267055	0.828025	0.908397	
0.000200	0.437292	0.271321	0.796178	0.895038	
0.000200	0.419000	0.269714	0.807643	0.904580	
0.000200	0.430906	0.270571	0.805096	0.900763	
0.000200	0.399926	0.266270	0.816561	0.900763	
0.000200	0.400755	0.272031	0.810191	0.902672	
0.000200	0.415829	0.277186	0.814013	0.904580	
0.000200	0.417874	0.275496	0.815287	0.908397	
0.000200	0.404438	0.255021	0.819108	0.908397	
0.000200	0.386346	0.275483	0.838217	0.896947	
0.000200	0.377217	0.283914	0.825478	0.893130	
0.000200	0.412921	0.267196	0.802548	0.898855	
0.000200	0.391968	0.264339	0.821656	0.902672	
0.000200	0.390808	0.278296	0.833121	0.904580	
0.000200	0.399302	0.259770	0.829299	0.906489	
0.000200	0.409969	0.280241	0.820382	0.898855	
0.000200	0.405096	0.266575	0.800000	0.900763	
0.000200	0.392920	0.275283	0.824204	0.893130	
0.000200	0.374300	0.272664	0.845860	0.896947	
0.000200	0.387238	0.262447	0.835669	0.898855	
0.000200	0.413435	0.281654	0.817834	0.885496	
0.000200	0.378508	0.262577	0.829299	0.900763	
0.000200	0.393846	0.269081	0.822930	0.891221	
0.000200	0.384238	0.259741	0.831847	0.902672	
0.000200	0.385520	0.268087	0.830573	0.898855	
0.000200	0.414694	0.271196	0.835669	0.893130	
0.000200	0.389495	0.269962	0.826752	0.904580	
0.000200	0.400294	0.266850	0.811465	0.893130	
0.000200	0.399900	0.292700	0.814013	0.875954	
0.000200	0.405005	0.268312	0.836943	0.904580	
0.000200	0.371459	0.267752	0.831847	0.912214	
0.000200	0.385527	0.274339	0.824204	0.891221	
0.000200	0.395446	0.267464	0.829299	0.895038	
0.000200	0.380973	0.280347	0.830573	0.889313	
0.000200	0.393404	0.284859	0.817834	0.887405	
0.000200	0.401864	0.272882	0.810191	0.908397	
0.000200	0.387210	0.259133	0.838217	0.902672	
0.000200	0.417831	0.271382	0.820382	0.893130	
0.000200	0.413054	0.252418	0.814013	0.908397	
0.000200	0.384610	0.282548	0.811465	0.889313	
0.000200	0.375940	0.270190	0.839490	0.908397	
0.000200	0.396649	0.275493	0.822930	0.908397	
0.000200	0.397002	0.264669	0.835669	0.902672	
0.000200	0.378498	0.259373	0.821656	0.898855	
0.000200	0.396753	0.283424	0.816561	0.891221	
0.000200	0.389690	0.270989	0.836943	0.893130	
0.000200	0.371508	0.261545	0.836943	0.912214	
0.000200	0.406634	0.268730	0.819108	0.906489	
0.000200	0.349782	0.257143	0.848408	0.906489	
0.000200	0.380711	0.263532	0.822930	0.902672	
0.000200	0.411321	0.256409	0.829299	0.908397	
0.000200	0.401655	0.264776	0.821656	0.906489	
0.000200	0.398431	0.273387	0.806369	0.893130	
0.000200	0.352352	0.270292	0.849682	0.895038	
0.000200	0.394515	0.260294	0.831847	0.902672	
0.000200	0.376962	0.266739	0.843312	0.912214	
0.000200	0.376569	0.263373	0.828025	0.900763	
0.000200	0.415199	0.260217	0.811465	0.896947	
0.000200	0.403008	0.263789	0.820382	0.898855	
0.000200	0.347286	0.260407	0.862420	0.914122	
0.000200	0.379521	0.266095	0.831847	0.893130	
0.000200	0.353730	0.269062	0.842038	0.891221	
0.000200	0.389802	0.261843	0.810191	0.896947	
0.000200	0.368977	0.285821	0.840764	0.891221	
0.000200	0.399099	0.256053	0.812739	0.914122	
0.000200	0.372680	0.254611	0.836943	0.908397	
0.000200	0.381078	0.253205	0.849682	0.908397	
0.000200	0.405050	0.261399	0.810191	0.910305	
0.000200	0.393905	0.263474	0.822930	0.906489	
Best value: 0.9141
